CLC_CODE,LABEL3,Pixel_Count,Area_km2
255,,10214012320,102140123.2
44,,148976541,1489765.41
12,,122116174,1221161.74
24,,82542055,825420.55
23,,59323054,593230.54
18,,42542827,425428.27
25,,30117541,301175.41000000003
29,,29912210,299122.10000000003
21,,27702004,277020.04
20,,25294618,252946.18
26,,22807520,228075.2
32,,22702777,227027.77000000002
27,,17363284,173632.84
2,,16536665,165366.65
41,,12909404,129094.04000000001
36,,11552591,115525.91
28,,10703590,107035.90000000001
13,,10496328,104963.28
31,,9452382,94523.82
17,,5073414,50734.14
16,,4165440,41654.4
15,,4160562,41605.62
22,,3273969,32739.690000000002
3,,2903931,29039.31
34,,1597763,15977.630000000001
35,,1500461,15004.61
40,,1357761,13577.61
39,,1234053,12340.53
11,,1208811,12088.11
7,,805167,8051.67
30,,802324,8023.24
14,,773059,7730.59
1,,672663,6726.63
42,,634056,6340.56
19,,600085,6000.85
37,,553673,5536.7300000000005
43,,392615,3926.15
10,,356512,3565.12
4,,355277,3552.77
6,,355041,3550.41
9,,240768,2407.68
5,,120132,1201.32
8,,119415,1194.15
33,,100170,1001.7
38,,70511,705.11
48,,40482,404.82
